time,symbol,signal,action,price,lots,sl_pips,tp_pips,order_result
2025-12-02 23:55:12.138848,USDJPYm,-1,SELL,155.787,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022958454, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956242, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.787, stoplimit=0.0, sl=155.987, tp=155.387, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:55:42.267102,USDJPYm,-1,SELL,155.804,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022959369, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956243, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.804, stoplimit=0.0, sl=156.004, tp=155.404, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:56:12.399541,USDJPYm,-1,SELL,155.808,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022960526, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956244, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.808, stoplimit=0.0, sl=156.00799999999998, tp=155.408, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:56:42.523590,USDJPYm,-1,SELL,155.811,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022961123, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956245, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.811, stoplimit=0.0, sl=156.011, tp=155.411, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:57:12.670579,USDJPYm,-1,SELL,155.816,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022961809, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956246, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.816, stoplimit=0.0, sl=156.016, tp=155.416, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:57:42.803566,USDJPYm,-1,SELL,155.811,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022962759, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956247, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.811, stoplimit=0.0, sl=156.011, tp=155.411, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:58:12.924656,USDJPYm,-1,SELL,155.791,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022963897, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956248, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.791, stoplimit=0.0, sl=155.99099999999999, tp=155.391, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:58:43.084271,USDJPYm,-1,SELL,155.796,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022964578, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956249, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.796, stoplimit=0.0, sl=155.99599999999998, tp=155.396, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:59:13.225673,USDJPYm,1,BUY,155.781,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022965542, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956250, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.799, stoplimit=0.0, sl=155.59900000000002, tp=156.199, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-02 23:59:43.362875,USDJPYm,1,BUY,155.757,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022966304, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956251, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.783, stoplimit=0.0, sl=155.583, tp=156.183, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
