time,symbol,signal,action,price,equity,lots,sl_pips,tp_pips,order_result
2025-12-01 00:40:17.398723,USDJPYm,1,BUY,155.723,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:40:47.422293,USDJPYm,1,BUY,155.725,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:41:17.439967,USDJPYm,1,BUY,155.707,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:41:47.459029,USDJPYm,1,BUY,155.699,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:42:17.476103,USDJPYm,1,BUY,155.711,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:42:47.497227,USDJPYm,1,BUY,155.723,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:43:17.517405,USDJPYm,1,BUY,155.731,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:43:47.540449,USDJPYm,1,BUY,155.728,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:44:17.560517,USDJPYm,1,BUY,155.738,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:44:47.578252,USDJPYm,1,BUY,155.729,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:45:17.596677,USDJPYm,1,BUY,155.724,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:45:47.613382,USDJPYm,1,BUY,155.718,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:46:17.632825,USDJPYm,1,BUY,155.718,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:46:47.651434,USDJPYm,1,BUY,155.713,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:47:17.670168,USDJPYm,1,BUY,155.703,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:47:47.688706,USDJPYm,1,BUY,155.698,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:48:17.707201,USDJPYm,1,BUY,155.704,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:48:47.724028,USDJPYm,1,BUY,155.697,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:49:17.741538,USDJPYm,1,BUY,155.706,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:49:47.761447,USDJPYm,1,BUY,155.714,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:50:17.779520,USDJPYm,1,BUY,155.721,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:50:47.794594,USDJPYm,1,BUY,155.722,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:51:17.811895,USDJPYm,1,BUY,155.694,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:51:47.827930,USDJPYm,1,BUY,155.717,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:52:17.846664,USDJPYm,1,BUY,155.741,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:52:47.868077,USDJPYm,1,BUY,155.766,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:53:17.885032,USDJPYm,1,BUY,155.782,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:53:47.901344,USDJPYm,1,BUY,155.779,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:54:17.921760,USDJPYm,1,BUY,155.802,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:54:47.940618,USDJPYm,1,BUY,155.8,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:55:17.961420,USDJPYm,-1,SELL,155.805,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:55:47.979421,USDJPYm,-1,SELL,155.79,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:56:17.997507,USDJPYm,-1,SELL,155.785,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:56:48.014942,USDJPYm,-1,SELL,155.783,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:57:18.032739,USDJPYm,-1,SELL,155.78,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:57:48.050888,USDJPYm,-1,SELL,155.846,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:58:18.071161,USDJPYm,-1,SELL,155.832,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:58:48.094603,USDJPYm,-1,SELL,155.837,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:59:18.120113,USDJPYm,-1,SELL,155.844,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 00:59:48.139269,USDJPYm,-1,SELL,155.819,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 01:00:18.160240,USDJPYm,-1,SELL,155.825,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 01:00:48.180955,USDJPYm,-1,SELL,155.848,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
2025-12-01 01:01:18.202292,USDJPYm,-1,SELL,155.84,9999.15,0.01,20,40,"{'retcode': 0, 'comment': 'DRY_RUN'}"
